component_1,table_type,component_2,component_3,component_4,component_5,value,component_6,component_7,component_8
REG1,COM_TMAP,NRG,OPP,,,,,,
REG1,COM_TMAP,NRG,RSDBIO,,,,,,
REG1,COM_TMAP,NRG,RSDCOA,,,,,,
REG1,COM_TMAP,NRG,RSDELC,,,,,,
REG1,COM_TMAP,NRG,RSDGAS,,,,,,
REG1,COM_TMAP,NRG,RSDOIL,,,,,,
REG1,COM_TMAP,NRG,RSDSOL,,,,,,
REG1,COM_TMAP,NRG,SOL,,,,,,
REG1,COM_TMAP,NRG,TRABIO,,,,,,
REG1,COM_TMAP,NRG,TRADSL,,,,,,
REG1,COM_TMAP,NRG,TRAELC,,,,,,
REG1,COM_TMAP,NRG,TRAGAS,,,,,,
REG1,COM_TMAP,NRG,TRAGSL,,,,,,
REG1,COM_TMAP,NRG,TRALPG,,,,,,
REG1,COM_TMAP,NRG,WIN,,,,,,
REG2,COM_TMAP,DEM,DAOT,,,,,,
REG2,COM_TMAP,DEM,DCAP,,,,,,
REG2,COM_TMAP,DEM,DCOT,,,,,,
REG2,COM_TMAP,DEM,DCSH,,,,,,
REG2,COM_TMAP,DEM,DIDM1,,,,,,
REG2,COM_TMAP,DEM,DRAP,,,,,,
REG2,COM_TMAP,DEM,DROT,,,,,,
REG2,COM_TMAP,DEM,DRSH,,,,,,
REG2,COM_TMAP,DEM,DTCAR,,,,,,
REG2,COM_TMAP,DEM,DTPUB,,,,,,
REG2,COM_TMAP,ENV,AGRCO2,,,,,,
REG2,COM_TMAP,ENV,COMCO2,,,,,,
REG2,COM_TMAP,ENV,ELCCO2,,,,,,
REG2,COM_TMAP,ENV,INDCO2,,,,,,
REG2,COM_TMAP,ENV,RSDCO2,,,,,,
REG2,COM_TMAP,ENV,TRACO2,,,,,,
REG2,COM_TMAP,NRG,AGRBIO,,,,,,
REG2,COM_TMAP,NRG,AGRCOA,,,,,,
REG2,COM_TMAP,NRG,AGRELC,,,,,,
REG2,COM_TMAP,NRG,AGRGAS,,,,,,
REG2,COM_TMAP,NRG,AGROIL,,,,,,
REG2,COM_TMAP,NRG,BIO,,,,,,
REG2,COM_TMAP,NRG,COA,,,,,,
REG2,COM_TMAP,NRG,COMBIO,,,,,,
REG2,COM_TMAP,NRG,COMCOA,,,,,,
REG2,COM_TMAP,NRG,COMELC,,,,,,
REG2,COM_TMAP,NRG,COMGAS,,,,,,
REG2,COM_TMAP,NRG,COMOIL,,,,,,
REG2,COM_TMAP,NRG,COMSOL,,,,,,
REG2,COM_TMAP,NRG,DSL,,,,,,
REG2,COM_TMAP,NRG,ELC,,,,,,
REG2,COM_TMAP,NRG,ELCBIO,,,,,,
REG2,COM_TMAP,NRG,ELCCOA,,,,,,
REG2,COM_TMAP,NRG,ELCGAS,,,,,,
REG2,COM_TMAP,NRG,ELCHYD,,,,,,
REG2,COM_TMAP,NRG,ELCNUC,,,,,,
REG2,COM_TMAP,NRG,ELCOIL,,,,,,
REG2,COM_TMAP,NRG,ELCSOL,,,,,,
REG2,COM_TMAP,NRG,ELCWIN,,,,,,
REG2,COM_TMAP,NRG,GAS,,,,,,
REG2,COM_TMAP,NRG,GSL,,,,,,
REG2,COM_TMAP,NRG,HFO,,,,,,
REG2,COM_TMAP,NRG,HYD,,,,,,
REG2,COM_TMAP,NRG,INDBIO,,,,,,
REG2,COM_TMAP,NRG,INDCOA,,,,,,
REG2,COM_TMAP,NRG,INDELC,,,,,,
REG2,COM_TMAP,NRG,INDGAS,,,,,,
REG2,COM_TMAP,NRG,INDOIL,,,,,,
REG2,COM_TMAP,NRG,KER,,,,,,
REG2,COM_TMAP,NRG,LPG,,,,,,
REG2,COM_TMAP,NRG,NAP,,,,,,
REG2,COM_TMAP,NRG,NUC,,,,,,
REG2,COM_TMAP,NRG,OIL,,,,,,
REG2,COM_TMAP,NRG,OPP,,,,,,
REG2,COM_TMAP,NRG,RSDBIO,,,,,,
REG2,COM_TMAP,NRG,RSDCOA,,,,,,
REG2,COM_TMAP,NRG,RSDELC,,,,,,
REG2,COM_TMAP,NRG,RSDGAS,,,,,,
REG2,COM_TMAP,NRG,RSDOIL,,,,,,
REG2,COM_TMAP,NRG,RSDSOL,,,,,,
REG2,COM_TMAP,NRG,SOL,,,,,,
REG2,COM_TMAP,NRG,TRABIO,,,,,,
REG2,COM_TMAP,NRG,TRADSL,,,,,,
REG2,COM_TMAP,NRG,TRAELC,,,,,,
REG2,COM_TMAP,NRG,TRAGAS,,,,,,
REG2,COM_TMAP,NRG,TRAGSL,,,,,,
REG2,COM_TMAP,NRG,TRALPG,,,,,,
REG2,COM_TMAP,NRG,WIN,,,,,,
REG1,NRG_TMAP,ELC,AGRELC,,,,,,
REG1,NRG_TMAP,ELC,COMELC,,,,,,
REG1,NRG_TMAP,ELC,ELC,,,,,,
REG1,NRG_TMAP,ELC,RSDELC,,,,,,
REG1,NRG_TMAP,ELC,TRAELC,,,,,,
REG2,NRG_TMAP,ELC,AGRELC,,,,,,
REG2,NRG_TMAP,ELC,COMELC,,,,,,
REG2,NRG_TMAP,ELC,ELC,,,,,,
REG2,NRG_TMAP,ELC,RSDELC,,,,,,
REG2,NRG_TMAP,ELC,TRAELC,,,,,,
REG1,COM_TSL,AGRELC,DAYNITE,,,,,,
REG1,COM_TSL,COMELC,DAYNITE,,,,,,
REG1,COM_TSL,ELC,DAYNITE,,,,,,
REG1,COM_TSL,RSDELC,DAYNITE,,,,,,
REG1,COM_TSL,TRAELC,DAYNITE,,,,,,
REG2,COM_TSL,AGRELC,DAYNITE,,,,,,
REG2,COM_TSL,COMELC,DAYNITE,,,,,,
REG2,COM_TSL,ELC,DAYNITE,,,,,,
REG2,COM_TSL,RSDELC,DAYNITE,,,,,,
REG2,COM_TSL,TRAELC,DAYNITE,,,,,,
REG1,COM_UNIT,AGRBIO,PJ,,,,,,
REG1,COM_UNIT,AGRCO2,kt,,,,,,
REG1,COM_UNIT,AGRCOA,PJ,,,,,,
REG1,COM_UNIT,AGRELC,PJ,,,,,,
REG1,COM_UNIT,AGRGAS,PJ,,,,,,
REG1,COM_UNIT,AGROIL,PJ,,,,,,
REG1,COM_UNIT,BIO,PJ,,,,,,
REG1,COM_UNIT,COA,PJ,,,,,,
REG1,COM_UNIT,COMBIO,PJ,,,,,,
REG1,COM_UNIT,COMCO2,kt,,,,,,
REG1,COM_UNIT,COMCOA,PJ,,,,,,
REG1,COM_UNIT,COMELC,PJ,,,,,,
REG1,COM_UNIT,COMGAS,PJ,,,,,,
REG1,COM_UNIT,COMOIL,PJ,,,,,,
REG1,COM_UNIT,COMSOL,PJ,,,,,,
REG1,COM_UNIT,DAOT,PJ,,,,,,
REG1,COM_UNIT,DCAP,PJ,,,,,,
REG1,COM_UNIT,DCOT,PJ,,,,,,
REG1,COM_UNIT,DCSH,PJ,,,,,,
REG1,COM_UNIT,DIDM1,PJ,,,,,,
REG1,COM_UNIT,DRAP,PJ,,,,,,
REG1,COM_UNIT,DROT,PJ,,,,,,
REG1,COM_UNIT,DRSH,PJ,,,,,,
REG1,COM_UNIT,DSL,PJ,,,,,,
REG1,COM_UNIT,DTCAR,BPkm,,,,,,
REG1,COM_UNIT,DTPUB,BPkm,,,,,,
REG1,COM_UNIT,ELC,PJ,,,,,,
REG1,COM_UNIT,ELCBIO,PJ,,,,,,
REG1,COM_UNIT,ELCCO2,kt,,,,,,
REG1,COM_UNIT,ELCCOA,PJ,,,,,,
REG1,COM_UNIT,ELCGAS,PJ,,,,,,
REG1,COM_UNIT,ELCHYD,PJ,,,,,,
REG1,COM_UNIT,ELCNUC,PJ,,,,,,
REG1,COM_UNIT,ELCOIL,PJ,,,,,,
REG1,COM_UNIT,ELCSOL,PJ,,,,,,
REG1,COM_UNIT,ELCWIN,PJ,,,,,,
REG1,COM_UNIT,GAS,PJ,,,,,,
REG1,COM_UNIT,GSL,PJ,,,,,,
REG1,COM_UNIT,HFO,PJ,,,,,,
REG1,COM_UNIT,HYD,PJ,,,,,,
REG1,COM_UNIT,INDBIO,PJ,,,,,,
REG1,COM_UNIT,INDCO2,kt,,,,,,
REG1,COM_UNIT,INDCOA,PJ,,,,,,
REG1,COM_UNIT,INDELC,PJ,,,,,,
REG1,COM_UNIT,INDGAS,PJ,,,,,,
