component_1,table_type,component_2,component_3,component_4,component_5,value
REG1,PRC_MAP,DMD,TPUNGSL1,,,
REG1,PRC_MAP,DMD,TPUNLPG1,,,
REG1,PRC_MAP,ELE,ELCNNNUC01,,,
REG1,PRC_MAP,ELE,ELCRNBIO01,,,
REG1,PRC_MAP,ELE,ELCRNHYD01,,,
REG1,PRC_MAP,ELE,ELCRNSOL01,,,
REG1,PRC_MAP,ELE,ELCRNWIN01,,,
REG1,PRC_MAP,ELE,ELCTNCOA01,,,
REG1,PRC_MAP,ELE,ELCTNGAS01,,,
REG1,PRC_MAP,ELE,ELCTNOIL01,,,
REG2,PRC_MAP,DMD,CAPNELC1,,,
REG2,PRC_MAP,DMD,COTNBIO1,,,
REG2,PRC_MAP,DMD,COTNCOA1,,,
REG2,PRC_MAP,DMD,COTNELC1,,,
REG2,PRC_MAP,DMD,COTNGAS1,,,
REG2,PRC_MAP,DMD,COTNOIL1,,,
REG2,PRC_MAP,DMD,CSHNBIO1,,,
REG2,PRC_MAP,DMD,CSHNCOA1,,,
REG2,PRC_MAP,DMD,CSHNELC1,,,
REG2,PRC_MAP,DMD,CSHNGAS1,,,
REG2,PRC_MAP,DMD,CSHNOIL1,,,
REG2,PRC_MAP,DMD,CSHNSOL1,,,
REG2,PRC_MAP,DMD,RAPNELC1,,,
REG2,PRC_MAP,DMD,ROTNBIO1,,,
REG2,PRC_MAP,DMD,ROTNCOA1,,,
REG2,PRC_MAP,DMD,ROTNELC1,,,
REG2,PRC_MAP,DMD,ROTNGAS1,,,
REG2,PRC_MAP,DMD,ROTNOIL1,,,
REG2,PRC_MAP,DMD,RSHNBIO1,,,
REG2,PRC_MAP,DMD,RSHNCOA1,,,
REG2,PRC_MAP,DMD,RSHNELC1,,,
REG2,PRC_MAP,DMD,RSHNGAS1,,,
REG2,PRC_MAP,DMD,RSHNOIL1,,,
REG2,PRC_MAP,DMD,RSHNSOL1,,,
REG2,PRC_MAP,DMD,TCANDSL1,,,
REG2,PRC_MAP,DMD,TCANELC1,,,
REG2,PRC_MAP,DMD,TCANGAS1,,,
REG2,PRC_MAP,DMD,TCANGSL1,,,
REG2,PRC_MAP,DMD,TCANLPG1,,,
REG2,PRC_MAP,DMD,TCARNBIO1,,,
REG2,PRC_MAP,DMD,TPUBNBIO1,,,
REG2,PRC_MAP,DMD,TPUNDSL1,,,
REG2,PRC_MAP,DMD,TPUNELC1,,,
REG2,PRC_MAP,DMD,TPUNGAS1,,,
REG2,PRC_MAP,DMD,TPUNGSL1,,,
REG2,PRC_MAP,DMD,TPUNLPG1,,,
REG2,PRC_MAP,ELE,ELCNNNUC01,,,
REG2,PRC_MAP,ELE,ELCRNBIO01,,,
REG2,PRC_MAP,ELE,ELCRNHYD01,,,
REG2,PRC_MAP,ELE,ELCRNSOL01,,,
REG2,PRC_MAP,ELE,ELCRNWIN01,,,
REG2,PRC_MAP,ELE,ELCTNCOA01,,,
REG2,PRC_MAP,ELE,ELCTNGAS01,,,
REG2,PRC_MAP,ELE,ELCTNOIL01,,,
REG1,PRC_TSL,CAPNELC1,ANNUAL,,,
REG1,PRC_TSL,COTNBIO1,ANNUAL,,,
REG1,PRC_TSL,COTNCOA1,ANNUAL,,,
REG1,PRC_TSL,COTNELC1,ANNUAL,,,
REG1,PRC_TSL,COTNGAS1,ANNUAL,,,
REG1,PRC_TSL,COTNOIL1,ANNUAL,,,
REG1,PRC_TSL,CSHNBIO1,ANNUAL,,,
REG1,PRC_TSL,CSHNCOA1,ANNUAL,,,
REG1,PRC_TSL,CSHNELC1,ANNUAL,,,
REG1,PRC_TSL,CSHNGAS1,ANNUAL,,,
REG1,PRC_TSL,CSHNOIL1,ANNUAL,,,
REG1,PRC_TSL,CSHNSOL1,ANNUAL,,,
REG1,PRC_TSL,ELCNNNUC01,ANNUAL,,,
REG1,PRC_TSL,ELCRNBIO01,DAYNITE,,,
REG1,PRC_TSL,ELCRNHYD01,DAYNITE,,,
REG1,PRC_TSL,ELCRNSOL01,DAYNITE,,,
REG1,PRC_TSL,ELCRNWIN01,DAYNITE,,,
REG1,PRC_TSL,ELCTNCOA01,SEASON,,,
REG1,PRC_TSL,ELCTNGAS01,DAYNITE,,,
REG1,PRC_TSL,ELCTNOIL01,DAYNITE,,,
REG1,PRC_TSL,RAPNELC1,ANNUAL,,,
REG1,PRC_TSL,ROTNBIO1,ANNUAL,,,
REG1,PRC_TSL,ROTNCOA1,ANNUAL,,,
REG1,PRC_TSL,ROTNELC1,ANNUAL,,,
REG1,PRC_TSL,ROTNGAS1,ANNUAL,,,
REG1,PRC_TSL,ROTNOIL1,ANNUAL,,,
REG1,PRC_TSL,RSHNBIO1,ANNUAL,,,
REG1,PRC_TSL,RSHNCOA1,ANNUAL,,,
REG1,PRC_TSL,RSHNELC1,ANNUAL,,,
REG1,PRC_TSL,RSHNGAS1,ANNUAL,,,
REG1,PRC_TSL,RSHNOIL1,ANNUAL,,,
REG1,PRC_TSL,RSHNSOL1,ANNUAL,,,
REG1,PRC_TSL,TCANDSL1,ANNUAL,,,
REG1,PRC_TSL,TCANELC1,ANNUAL,,,
REG1,PRC_TSL,TCANGAS1,ANNUAL,,,
REG1,PRC_TSL,TCANGSL1,ANNUAL,,,
REG1,PRC_TSL,TCANLPG1,ANNUAL,,,
REG1,PRC_TSL,TCARNBIO1,ANNUAL,,,
REG1,PRC_TSL,TPUBNBIO1,ANNUAL,,,
REG1,PRC_TSL,TPUNDSL1,ANNUAL,,,
REG1,PRC_TSL,TPUNELC1,ANNUAL,,,
REG1,PRC_TSL,TPUNGAS1,ANNUAL,,,
REG1,PRC_TSL,TPUNGSL1,ANNUAL,,,
REG1,PRC_TSL,TPUNLPG1,ANNUAL,,,
REG2,PRC_TSL,CAPNELC1,ANNUAL,,,
REG2,PRC_TSL,COTNBIO1,ANNUAL,,,
REG2,PRC_TSL,COTNCOA1,ANNUAL,,,
REG2,PRC_TSL,COTNELC1,ANNUAL,,,
REG2,PRC_TSL,COTNGAS1,ANNUAL,,,
REG2,PRC_TSL,COTNOIL1,ANNUAL,,,
REG2,PRC_TSL,CSHNBIO1,ANNUAL,,,
REG2,PRC_TSL,CSHNCOA1,ANNUAL,,,
REG2,PRC_TSL,CSHNELC1,ANNUAL,,,
REG2,PRC_TSL,CSHNGAS1,ANNUAL,,,
REG2,PRC_TSL,CSHNOIL1,ANNUAL,,,
REG2,PRC_TSL,CSHNSOL1,ANNUAL,,,
REG2,PRC_TSL,ELCNNNUC01,ANNUAL,,,
REG2,PRC_TSL,ELCRNBIO01,DAYNITE,,,
REG2,PRC_TSL,ELCRNHYD01,DAYNITE,,,
REG2,PRC_TSL,ELCRNSOL01,DAYNITE,,,
REG2,PRC_TSL,ELCRNWIN01,DAYNITE,,,
REG2,PRC_TSL,ELCTNCOA01,SEASON,,,
REG2,PRC_TSL,ELCTNGAS01,DAYNITE,,,
REG2,PRC_TSL,ELCTNOIL01,DAYNITE,,,
REG2,PRC_TSL,RAPNELC1,ANNUAL,,,
REG2,PRC_TSL,ROTNBIO1,ANNUAL,,,
REG2,PRC_TSL,ROTNCOA1,ANNUAL,,,
REG2,PRC_TSL,ROTNELC1,ANNUAL,,,
REG2,PRC_TSL,ROTNGAS1,ANNUAL,,,
REG2,PRC_TSL,ROTNOIL1,ANNUAL,,,
REG2,PRC_TSL,RSHNBIO1,ANNUAL,,,
REG2,PRC_TSL,RSHNCOA1,ANNUAL,,,
REG2,PRC_TSL,RSHNELC1,ANNUAL,,,
REG2,PRC_TSL,RSHNGAS1,ANNUAL,,,
REG2,PRC_TSL,RSHNOIL1,ANNUAL,,,
REG2,PRC_TSL,RSHNSOL1,ANNUAL,,,
REG2,PRC_TSL,TCANDSL1,ANNUAL,,,
REG2,PRC_TSL,TCANELC1,ANNUAL,,,
REG2,PRC_TSL,TCANGAS1,ANNUAL,,,
REG2,PRC_TSL,TCANGSL1,ANNUAL,,,
REG2,PRC_TSL,TCANLPG1,ANNUAL,,,
REG2,PRC_TSL,TCARNBIO1,ANNUAL,,,
REG2,PRC_TSL,TPUBNBIO1,ANNUAL,,,
REG2,PRC_TSL,TPUNDSL1,ANNUAL,,,
REG2,PRC_TSL,TPUNELC1,ANNUAL,,,
REG2,PRC_TSL,TPUNGAS1,ANNUAL,,,
REG2,PRC_TSL,TPUNGSL1,ANNUAL,,,
REG2,PRC_TSL,TPUNLPG1,ANNUAL,,,
REG1,PRC_ACTUNT,CAPNELC1,DCAP,PJ,,
REG1,PRC_ACTUNT,COTNBIO1,DCOT,PJ,,
REG1,PRC_ACTUNT,COTNCOA1,DCOT,PJ,,
REG1,PRC_ACTUNT,COTNELC1,DCOT,PJ,,
REG1,PRC_ACTUNT,COTNGAS1,DCOT,PJ,,
REG1,PRC_ACTUNT,COTNOIL1,DCOT,PJ,,
REG1,PRC_ACTUNT,CSHNBIO1,DCSH,PJ,,
REG1,PRC_ACTUNT,CSHNCOA1,DCSH,PJ,,
REG1,PRC_ACTUNT,CSHNELC1,DCSH,PJ,,
REG1,PRC_ACTUNT,CSHNGAS1,DCSH,PJ,,
REG1,PRC_ACTUNT,CSHNOIL1,DCSH,PJ,,
REG1,PRC_ACTUNT,CSHNSOL1,DCSH,PJ,,
REG1,PRC_ACTUNT,ELCNNNUC01,ELC,PJ,,
REG1,PRC_ACTUNT,ELCRNBIO01,ELC,PJ,,
REG1,PRC_ACTUNT,ELCRNHYD01,ELC,PJ,,
REG1,PRC_ACTUNT,ELCRNSOL01,ELC,PJ,,
REG1,PRC_ACTUNT,ELCRNWIN01,ELC,PJ,,
REG1,PRC_ACTUNT,ELCTNCOA01,ELC,PJ,,
REG1,PRC_ACTUNT,ELCTNGAS01,ELC,PJ,,
REG1,PRC_ACTUNT,ELCTNOIL01,ELC,PJ,,
REG1,PRC_ACTUNT,RAPNELC1,DRAP,PJ,,
REG1,PRC_ACTUNT,ROTNBIO1,DROT,PJ,,
REG1,PRC_ACTUNT,ROTNCOA1,DROT,PJ,,
REG1,PRC_ACTUNT,ROTNELC1,DROT,PJ,,
REG1,PRC_ACTUNT,ROTNGAS1,DROT,PJ,,
REG1,PRC_ACTUNT,ROTNOIL1,DROT,PJ,,
REG1,PRC_ACTUNT,RSHNBIO1,DRSH,PJ,,
REG1,PRC_ACTUNT,RSHNCOA1,DRSH,PJ,,
REG1,PRC_ACTUNT,RSHNELC1,DRSH,PJ,,
REG1,PRC_ACTUNT,RSHNGAS1,DRSH,PJ,,
REG1,PRC_ACTUNT,RSHNOIL1,DRSH,PJ,,
REG1,PRC_ACTUNT,RSHNSOL1,DRSH,PJ,,
REG1,PRC_ACTUNT,TCANDSL1,TCANDSL1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TCANELC1,TCANELC1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TCANGAS1,TCANGAS1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TCANGSL1,TCANGSL1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TCANLPG1,TCANLPG1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TCARNBIO1,TCARNBIO1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TPUBNBIO1,TPUBNBIO1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TPUNDSL1,TPUNDSL1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TPUNELC1,TPUNELC1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TPUNGAS1,TPUNGAS1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TPUNGSL1,TPUNGSL1_DEMO,BPKM,,
REG1,PRC_ACTUNT,TPUNLPG1,TPUNLPG1_DEMO,BPKM,,
REG2,PRC_ACTUNT,CAPNELC1,DCAP,PJ,,
REG2,PRC_ACTUNT,COTNBIO1,DCOT,PJ,,
REG2,PRC_ACTUNT,COTNCOA1,DCOT,PJ,,
REG2,PRC_ACTUNT,COTNELC1,DCOT,PJ,,
REG2,PRC_ACTUNT,COTNGAS1,DCOT,PJ,,
REG2,PRC_ACTUNT,COTNOIL1,DCOT,PJ,,
REG2,PRC_ACTUNT,CSHNBIO1,DCSH,PJ,,
REG2,PRC_ACTUNT,CSHNCOA1,DCSH,PJ,,
REG2,PRC_ACTUNT,CSHNELC1,DCSH,PJ,,
REG2,PRC_ACTUNT,CSHNGAS1,DCSH,PJ,,
REG2,PRC_ACTUNT,CSHNOIL1,DCSH,PJ,,
REG2,PRC_ACTUNT,CSHNSOL1,DCSH,PJ,,
REG2,PRC_ACTUNT,ELCNNNUC01,ELC,PJ,,
REG2,PRC_ACTUNT,ELCRNBIO01,ELC,PJ,,
REG2,PRC_ACTUNT,ELCRNHYD01,ELC,PJ,,
REG2,PRC_ACTUNT,ELCRNSOL01,ELC,PJ,,
REG2,PRC_ACTUNT,ELCRNWIN01,ELC,PJ,,
REG2,PRC_ACTUNT,ELCTNCOA01,ELC,PJ,,
REG2,PRC_ACTUNT,ELCTNGAS01,ELC,PJ,,
REG2,PRC_ACTUNT,ELCTNOIL01,ELC,PJ,,
REG2,PRC_ACTUNT,RAPNELC1,DRAP,PJ,,
REG2,PRC_ACTUNT,ROTNBIO1,DROT,PJ,,
REG2,PRC_ACTUNT,ROTNCOA1,DROT,PJ,,
REG2,PRC_ACTUNT,ROTNELC1,DROT,PJ,,
REG2,PRC_ACTUNT,ROTNGAS1,DROT,PJ,,
REG2,PRC_ACTUNT,ROTNOIL1,DROT,PJ,,
REG2,PRC_ACTUNT,RSHNBIO1,DRSH,PJ,,
REG2,PRC_ACTUNT,RSHNCOA1,DRSH,PJ,,
REG2,PRC_ACTUNT,RSHNELC1,DRSH,PJ,,
REG2,PRC_ACTUNT,RSHNGAS1,DRSH,PJ,,
REG2,PRC_ACTUNT,RSHNOIL1,DRSH,PJ,,
REG2,PRC_ACTUNT,RSHNSOL1,DRSH,PJ,,
REG2,PRC_ACTUNT,TCANDSL1,TCANDSL1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TCANELC1,TCANELC1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TCANGAS1,TCANGAS1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TCANGSL1,TCANGSL1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TCANLPG1,TCANLPG1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TCARNBIO1,TCARNBIO1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TPUBNBIO1,TPUBNBIO1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TPUNDSL1,TPUNDSL1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TPUNELC1,TPUNELC1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TPUNGAS1,TPUNGAS1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TPUNGSL1,TPUNGSL1_DEMO,BPKM,,
REG2,PRC_ACTUNT,TPUNLPG1,TPUNLPG1_DEMO,BPKM,,
REG1,TOP,CAPNELC1,COMELC,IN,,
REG1,TOP,CAPNELC1,DCAP,OUT,,
REG1,TOP,COTNBIO1,COMBIO,IN,,
REG1,TOP,COTNBIO1,DCOT,OUT,,
REG1,TOP,COTNCOA1,COMCOA,IN,,
REG1,TOP,COTNCOA1,DCOT,OUT,,
REG1,TOP,COTNELC1,COMELC,IN,,
REG1,TOP,COTNELC1,DCOT,OUT,,
REG1,TOP,COTNGAS1,COMGAS,IN,,
REG1,TOP,COTNGAS1,DCOT,OUT,,
REG1,TOP,COTNOIL1,COMOIL,IN,,
REG1,TOP,COTNOIL1,DCOT,OUT,,
REG1,TOP,CSHNBIO1,COMBIO,IN,,
REG1,TOP,CSHNBIO1,DCSH,OUT,,
REG1,TOP,CSHNCOA1,COMCOA,IN,,
REG1,TOP,CSHNCOA1,DCSH,OUT,,
REG1,TOP,CSHNELC1,COMELC,IN,,
REG1,TOP,CSHNELC1,DCSH,OUT,,
REG1,TOP,CSHNGAS1,COMGAS,IN,,
REG1,TOP,CSHNGAS1,DCSH,OUT,,
REG1,TOP,CSHNOIL1,COMOIL,IN,,
REG1,TOP,CSHNOIL1,DCSH,OUT,,
REG1,TOP,CSHNSOL1,COMSOL,IN,,
REG1,TOP,CSHNSOL1,DCSH,OUT,,
REG1,TOP,ELCNNNUC01,ELC,OUT,,
REG1,TOP,ELCNNNUC01,ELCNUC,IN,,
REG1,TOP,ELCRNBIO01,ELC,OUT,,
REG1,TOP,ELCRNBIO01,ELCBIO,IN,,
REG1,TOP,ELCRNHYD01,ELC,OUT,,
REG1,TOP,ELCRNHYD01,ELCHYD,IN,,
REG1,TOP,ELCRNSOL01,ELC,OUT,,
REG1,TOP,ELCRNSOL01,ELCSOL,IN,,
REG1,TOP,ELCRNWIN01,ELC,OUT,,
REG1,TOP,ELCRNWIN01,ELCWIN,IN,,
REG1,TOP,ELCTNCOA01,ELC,OUT,,
REG1,TOP,ELCTNCOA01,ELCCOA,IN,,
REG1,TOP,ELCTNGAS01,ELC,OUT,,
REG1,TOP,ELCTNGAS01,ELCGAS,IN,,
REG1,TOP,ELCTNOIL01,ELC,OUT,,
REG1,TOP,ELCTNOIL01,ELCOIL,IN,,
REG1,TOP,RAPNELC1,DRAP,OUT,,
REG1,TOP,RAPNELC1,RSDELC,IN,,
REG1,TOP,ROTNBIO1,DROT,OUT,,
REG1,TOP,ROTNBIO1,RSDBIO,IN,,
REG1,TOP,ROTNCOA1,DROT,OUT,,
REG1,TOP,ROTNCOA1,RSDCOA,IN,,
REG1,TOP,ROTNELC1,DROT,OUT,,
REG1,TOP,ROTNELC1,RSDELC,IN,,
REG1,TOP,ROTNGAS1,DROT,OUT,,
REG1,TOP,ROTNGAS1,RSDGAS,IN,,
REG1,TOP,ROTNOIL1,DROT,OUT,,
REG1,TOP,ROTNOIL1,RSDOIL,IN,,
REG1,TOP,RSHNBIO1,DRSH,OUT,,
REG1,TOP,RSHNBIO1,RSDBIO,IN,,
REG1,TOP,RSHNCOA1,DRSH,OUT,,
REG1,TOP,RSHNCOA1,RSDCOA,IN,,
REG1,TOP,RSHNELC1,DRSH,OUT,,
REG1,TOP,RSHNELC1,RSDELC,IN,,
REG1,TOP,RSHNGAS1,DRSH,OUT,,
REG1,TOP,RSHNGAS1,RSDGAS,IN,,
REG1,TOP,RSHNOIL1,DRSH,OUT,,
REG1,TOP,RSHNOIL1,RSDOIL,IN,,
REG1,TOP,RSHNSOL1,DRSH,OUT,,
REG1,TOP,RSHNSOL1,RSDSOL,IN,,
REG1,TOP,TCANDSL1,DTCAR,OUT,,
REG1,TOP,TCANDSL1,TRADSL,IN,,
REG1,TOP,TCANELC1,DTCAR,OUT,,
REG1,TOP,TCANELC1,TRAELC,IN,,
REG1,TOP,TCANGAS1,DTCAR,OUT,,
REG1,TOP,TCANGAS1,TRAGAS,IN,,
REG1,TOP,TCANGSL1,DTCAR,OUT,,
REG1,TOP,TCANGSL1,TRAGSL,IN,,
REG1,TOP,TCANLPG1,DTCAR,OUT,,
REG1,TOP,TCANLPG1,TRALPG,IN,,
REG1,TOP,TCARNBIO1,DTCAR,OUT,,
REG1,TOP,TCARNBIO1,TRABIO,IN,,
REG1,TOP,TPUBNBIO1,DTPUB,OUT,,
REG1,TOP,TPUBNBIO1,TRABIO,IN,,
REG1,TOP,TPUNDSL1,DTPUB,OUT,,
REG1,TOP,TPUNDSL1,TRADSL,IN,,
REG1,TOP,TPUNELC1,DTPUB,OUT,,
REG1,TOP,TPUNELC1,TRAELC,IN,,
REG1,TOP,TPUNGAS1,DTPUB,OUT,,
REG1,TOP,TPUNGAS1,TRAGAS,IN,,
REG1,TOP,TPUNGSL1,DTPUB,OUT,,
REG1,TOP,TPUNGSL1,TRAGSL,IN,,
REG1,TOP,TPUNLPG1,DTPUB,OUT,,
REG1,TOP,TPUNLPG1,TRALPG,IN,,
REG2,TOP,CAPNELC1,COMELC,IN,,
REG2,TOP,CAPNELC1,DCAP,OUT,,
REG2,TOP,COTNBIO1,COMBIO,IN,,
REG2,TOP,COTNBIO1,DCOT,OUT,,
REG2,TOP,COTNCOA1,COMCOA,IN,,
REG2,TOP,COTNCOA1,DCOT,OUT,,
REG2,TOP,COTNELC1,COMELC,IN,,
REG2,TOP,COTNELC1,DCOT,OUT,,
REG2,TOP,COTNGAS1,COMGAS,IN,,
REG2,TOP,COTNGAS1,DCOT,OUT,,
REG2,TOP,COTNOIL1,COMOIL,IN,,
REG2,TOP,COTNOIL1,DCOT,OUT,,
REG2,TOP,CSHNBIO1,COMBIO,IN,,
REG2,TOP,CSHNBIO1,DCSH,OUT,,
REG2,TOP,CSHNCOA1,COMCOA,IN,,
REG2,TOP,CSHNCOA1,DCSH,OUT,,
REG2,TOP,CSHNELC1,COMELC,IN,,
REG2,TOP,CSHNELC1,DCSH,OUT,,
REG2,TOP,CSHNGAS1,COMGAS,IN,,
REG2,TOP,CSHNGAS1,DCSH,OUT,,
REG2,TOP,CSHNOIL1,COMOIL,IN,,
REG2,TOP,CSHNOIL1,DCSH,OUT,,
REG2,TOP,CSHNSOL1,COMSOL,IN,,
REG2,TOP,CSHNSOL1,DCSH,OUT,,
REG2,TOP,ELCNNNUC01,ELC,OUT,,
REG2,TOP,ELCNNNUC01,ELCNUC,IN,,
REG2,TOP,ELCRNBIO01,ELC,OUT,,
REG2,TOP,ELCRNBIO01,ELCBIO,IN,,
REG2,TOP,ELCRNHYD01,ELC,OUT,,
REG2,TOP,ELCRNHYD01,ELCHYD,IN,,
REG2,TOP,ELCRNSOL01,ELC,OUT,,
REG2,TOP,ELCRNSOL01,ELCSOL,IN,,
REG2,TOP,ELCRNWIN01,ELC,OUT,,
REG2,TOP,ELCRNWIN01,ELCWIN,IN,,
REG2,TOP,ELCTNCOA01,ELC,OUT,,
REG2,TOP,ELCTNCOA01,ELCCOA,IN,,
REG2,TOP,ELCTNGAS01,ELC,OUT,,
REG2,TOP,ELCTNGAS01,ELCGAS,IN,,
REG2,TOP,ELCTNOIL01,ELC,OUT,,
REG2,TOP,ELCTNOIL01,ELCOIL,IN,,
REG2,TOP,RAPNELC1,DRAP,OUT,,
REG2,TOP,RAPNELC1,RSDELC,IN,,
REG2,TOP,ROTNBIO1,DROT,OUT,,
REG2,TOP,ROTNBIO1,RSDBIO,IN,,
REG2,TOP,ROTNCOA1,DROT,OUT,,
REG2,TOP,ROTNCOA1,RSDCOA,IN,,
REG2,TOP,ROTNELC1,DROT,OUT,,
REG2,TOP,ROTNELC1,RSDELC,IN,,
REG2,TOP,ROTNGAS1,DROT,OUT,,
