component_1,table_type,component_2,component_3,component_4,component_5,value,component_6
MINRNW,TOP_IRE,COA,REG1,COA,MINCOA3,,
MINRNW,TOP_IRE,GAS,REG1,GAS,MINGAS1,,
MINRNW,TOP_IRE,GAS,REG1,GAS,MINGAS2,,
MINRNW,TOP_IRE,GAS,REG1,GAS,MINGAS3,,
MINRNW,TOP_IRE,NUC,REG1,NUC,MINNUC1,,
MINRNW,TOP_IRE,OIL,REG1,OIL,MINOIL1,,
MINRNW,TOP_IRE,OIL,REG1,OIL,MINOIL2,,
MINRNW,TOP_IRE,OIL,REG1,OIL,MINOIL3,,
MINRNW,TOP_IRE,RNW,REG1,RNW,MINRNW1,,
REG1,TOP_IRE,COA,IMPEXP,COA,EXPCOA1,,
REG1,TOP_IRE,GAS,IMPEXP,GAS,EXPGAS1,,
REG1,TOP_IRE,OIL,IMPEXP,OIL,EXPOIL1,,
REG1,PRC_DESC,DTPSCOA' 'Demand Technology Total Primary Supply - COA,,,,,
REG1,PRC_DESC,DTPSELC' 'Demand Technology Total Primary Supply - ELC,,,,,
REG1,PRC_DESC,ELCRERNW00' 'Power Plants Existing00 - Renewable Energies,,,,,
REG1,PRC_DESC,ELCTECOA00' 'Power Plants Existing00 - Solid Fuels,,,,,
REG1,PRC_DESC,ELCTEGAS00' 'Power Plants Existing00 - Natural Gas,,,,,
REG1,PRC_DESC,ELCTENUC00' 'Power Plants Existing00 - Nuclear Energy,,,,,
REG1,PRC_DESC,ELCTEOIL00' 'Power Plants Existing00 - Crude Oil,,,,,
REG1,PRC_DESC,ELCTNCOA00' 'Power Plants New00 - Solid Fuels,,,,,
REG1,PRC_DESC,ELCTNGAS00' 'Power Plants New00 - Natural Gas,,,,,
REG1,PRC_DESC,ELCTNOIL00' 'Power Plants New00 - Crude Oil,,,,,
REG1,PRC_DESC,EXPCOA1' 'Export of Solid Fuels Step 1,,,,,
REG1,PRC_DESC,EXPGAS1' 'Export of Natural Gas Step 1,,,,,
REG1,PRC_DESC,EXPOIL1' 'Export of Crude Oil Step 1,,,,,
REG1,PRC_DESC,FTE-ELCCOA' 'Sector Fuel Technology Existing Electricity Plants Solid Fuels,,,,,
REG1,PRC_DESC,FTE-ELCGAS' 'Sector Fuel Technology Existing Electricity Plants Natural Gas,,,,,
REG1,PRC_DESC,FTE-ELCNUC' 'Sector Fuel Technology Existing Electricity Plants Nuclear Energy,,,,,
REG1,PRC_DESC,FTE-ELCOIL' 'Sector Fuel Technology Existing Electricity Plants Crude Oil,,,,,
REG1,PRC_DESC,FTE-ELCRNW' 'Sector Fuel Technology Existing Electricity Plants Renewable Energies,,,,,
REG1,PRC_DESC,FTE-RSDGAS' 'Sector Fuel Existing Residential Sector- Natural Gas,,,,,
REG1,PRC_DESC,FTE-TRAOIL' 'Sector Fuel Existing Transport Sector- Crude Oil,,,,,
REG1,PRC_DESC,IMPCOA1' 'Import of Solid Fuels Step 1,,,,,
REG1,PRC_DESC,IMPDEMZ' 'Dummy Import of DEM,,,,,
REG1,PRC_DESC,IMPGAS1' 'Import of Natural Gas Step 1,,,,,
REG1,PRC_DESC,IMPMATZ' 'Dummy Import of MAT,,,,,
REG1,PRC_DESC,IMPNRGZ' 'Dummy Import of NRG,,,,,
REG1,PRC_DESC,IMPOIL1' 'Import of Crude Oil Step 1,,,,,
REG1,PRC_DESC,MINCOA1' 'Domestic Supply of Solid Fuels Step 1,,,,,
REG1,PRC_DESC,MINCOA2' 'Domestic Supply of Solid Fuels Step 2,,,,,
REG1,PRC_DESC,MINCOA3' 'Domestic Supply of Solid Fuels Step 3,,,,,
REG1,PRC_DESC,MINGAS1' 'Domestic Supply of Natural Gas Step 1,,,,,
REG1,PRC_DESC,MINGAS2' 'Domestic Supply of Natural Gas Step 2,,,,,
REG1,PRC_DESC,MINGAS3' 'Domestic Supply of Natural Gas Step 3,,,,,
REG1,PRC_DESC,MINNUC1' 'Domestic Supply of Nuclear Energy Step 1,,,,,
REG1,PRC_DESC,MINOIL1' 'Domestic Supply of Crude Oil Step 1,,,,,
REG1,PRC_DESC,MINOIL2' 'Domestic Supply of Crude Oil Step 2,,,,,
REG1,PRC_DESC,MINOIL3' 'Domestic Supply of Crude Oil Step 3,,,,,
REG1,PRC_DESC,MINRNW1' 'Domestic Supply of Renewable Energies Step 1,,,,,
REG1,PRC_DESC,ROTEGAS' 'Demand Technologies Residential Sector -  Existing Other - Natural Gas,,,,,
REG1,PRC_DESC,ROTNGAS' 'Demand Technologies Residential Sector -  New Other - Natural Gas,,,,,
REG1,PRC_DESC,TOTEOIL' 'Demand Technologies Transport Sector -  Existing  - Crude Oil,,,,,
REG1,PRC_DESC,TOTNOIL' 'Demand Technologies Transport Sector -  New  - Crude Oil,,,,,
REG1,COM_DESC,COA' 'Solid Fuels,,,,,
REG1,COM_DESC,DROT' 'Demand Residential Sector - Other,,,,,
REG1,COM_DESC,DTD1' 'Demand Transport Sector - Demand 1,,,,,
REG1,COM_DESC,ELC' 'Electricity,,,,,
REG1,COM_DESC,ELCCO2' 'Electricity Plants Carbon dioxide,,,,,
REG1,COM_DESC,ELCCOA' 'Electricity Plants Solid Fuels,,,,,
REG1,COM_DESC,ELCGAS' 'Electricity Plants Natural Gas,,,,,
REG1,COM_DESC,ELCNUC' 'Electricity Plants Nuclear Energy,,,,,
REG1,COM_DESC,ELCOIL' 'Electricity Plants Crude Oil,,,,,
REG1,COM_DESC,ELCRNW' 'Electricity Plants Renewable Energies,,,,,
REG1,COM_DESC,GAS' 'Natural Gas,,,,,
REG1,COM_DESC,NUC' 'Nuclear Energy,,,,,
REG1,COM_DESC,OIL' 'Crude Oil,,,,,
REG1,COM_DESC,RNW' 'Renewable Energies,,,,,
REG1,COM_DESC,RSDCO2' 'Residential Carbon dioxide,,,,,
REG1,COM_DESC,RSDGAS' 'Residential Natural Gas,,,,,
REG1,COM_DESC,TPSCOA' 'Demand Total Primary Supply - COA,,,,,
REG1,COM_DESC,TPSELC' 'Demand Total Primary Supply - ELC,,,,,
REG1,COM_DESC,TRACO2' 'Transport Carbon dioxide,,,,,
REG1,COM_DESC,TRAOIL' 'Transport Crude Oil,,,,,
REG1,ACT_COST,2005,ELCTECOA00,MEuro05,,0.5,
REG1,ACT_COST,2005,ELCTEGAS00,MEuro05,,0.4,
REG1,ACT_COST,2005,ELCTENUC00,MEuro05,,0.27,
REG1,ACT_COST,2005,ELCTEOIL00,MEuro05,,0.2,
REG1,ACT_COST,2005,ELCTNCOA00,MEuro05,,0.4,
REG1,ACT_COST,2005,ELCTNGAS00,MEuro05,,0.35,
REG1,ACT_COST,2005,ELCTNOIL00,MEuro05,,0.2,
REG1,ACT_EFF,2005,DTPSCOA,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,DTPSELC,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,ELCRERNW00,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,ELCTECOA00,ACT,ANNUAL,0.384,
REG1,ACT_EFF,2005,ELCTEGAS00,ACT,ANNUAL,0.4929,
REG1,ACT_EFF,2005,ELCTENUC00,ACT,ANNUAL,0.33,
REG1,ACT_EFF,2005,ELCTEOIL00,ACT,ANNUAL,0.25,
REG1,ACT_EFF,2005,ELCTNCOA00,ACT,ANNUAL,0.42,
REG1,ACT_EFF,2005,ELCTNGAS00,ACT,ANNUAL,0.52,
REG1,ACT_EFF,2005,ELCTNOIL00,ACT,ANNUAL,0.3,
REG1,ACT_EFF,2005,FTE-ELCCOA,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,FTE-ELCGAS,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,FTE-ELCNUC,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,FTE-ELCOIL,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,FTE-ELCRNW,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,FTE-RSDGAS,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,FTE-TRAOIL,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,ROTEGAS,ACT,ANNUAL,1.0,
REG1,ACT_EFF,2005,ROTNGAS,ACT,ANNUAL,1.2,
